数据由预测者网(www.yucezhe.com)整理，任何问题请联系官方微信:yucezhekefu，或者官方QQ:730809289
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额
sz300766,每日互动,2019-03-25,15.7,18.84,15.7,18.84,13.08,23144,431261
sz300766,每日互动,2019-03-26,20.72,20.72,20.72,20.72,18.84,8426,174586
sz300766,每日互动,2019-03-27,22.79,22.79,22.79,22.79,20.72,8795,200438
sz300766,每日互动,2019-03-28,25.07,25.07,25.07,25.07,22.79,11479,287778
sz300766,每日互动,2019-03-29,27.58,27.58,27.58,27.58,25.07,32662,900817
sz300766,每日互动,2019-04-01,30.34,30.34,30.34,30.34,27.58,31356,951341
sz300766,每日互动,2019-04-02,33.37,33.37,33.37,33.37,30.34,69898,2332496
sz300766,每日互动,2019-04-03,36.71,36.71,36.71,36.71,33.37,54210,1990049
sz300766,每日互动,2019-04-04,40.38,40.38,40.38,40.38,36.71,99268,4008441
