数据由预测者网(www.yucezhe.com)整理，任何问题请联系官方微信:yucezhekefu，或者官方QQ:730809289
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额
sz300765,新诺威,2019-03-22,29.36,35.24,29.36,35.24,24.47,40922,1437133
sz300765,新诺威,2019-03-25,38.76,38.76,38.76,38.76,35.24,11300,437988
sz300765,新诺威,2019-03-26,42.64,42.64,42.64,42.64,38.76,23242,991038
sz300765,新诺威,2019-03-27,46.9,46.9,46.9,46.9,42.64,80215,3762083
sz300765,新诺威,2019-03-28,51.59,51.59,51.59,51.59,46.9,147132,7590539
sz300765,新诺威,2019-03-29,56.75,56.75,51.7,52.99,51.59,25008188,1336483786
sz300765,新诺威,2019-04-01,53.79,55.58,52.36,54.49,52.99,18656191,1010300813
sz300765,新诺威,2019-04-02,54.0,54.9,52.8,53.2,54.49,13744812,736446200
sz300765,新诺威,2019-04-03,52.08,52.4,50.8,50.93,53.2,12692852,652651693
sz300765,新诺威,2019-04-04,50.91,51.98,50.7,51.25,50.93,10625376,545374923
