数据由邢不行整理，微信：xingbuxing0807
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值
sh600002,齐鲁石化,1998-04-08,5.47,5.48,5.2,5.25,5.0,128095648.0,678466110.0,1653750000.0,10237500000.0
sh600002,齐鲁石化,1998-04-09,5.26,5.78,5.26,5.78,5.25,84629056.0,471064459.0,1820700000.0,11271000000.0
sh600002,齐鲁石化,1998-04-10,5.88,6.36,5.8,6.07,5.78,99511695.0,601135283.0,1912050000.0,11836500000.0
sh600002,齐鲁石化,1998-04-13,6.1,6.41,6.02,6.1,6.07,45998708.0,283291622.0,1921500000.0,11895000000.0
sh600002,齐鲁石化,1998-04-14,6.09,6.12,5.87,5.97,6.1,21146442.0,126601455.0,1880550000.0,11641500000.0
sh600002,齐鲁石化,1998-04-15,6.01,6.03,5.8,5.88,5.97,14643142.0,86043500.0,1852200000.0,11466000000.0
sh600002,齐鲁石化,1998-04-16,5.88,5.88,5.7,5.76,5.88,15310227.0,88451144.0,1814400000.0,11232000000.0
sh600002,齐鲁石化,1998-04-17,5.75,5.75,5.61,5.67,5.76,8763494.0,49658225.0,1786050000.0,11056500000.0
sh600002,齐鲁石化,1998-04-20,5.61,5.63,5.48,5.5,5.67,9416900.0,52220354.0,1732500000.0,10725000000.0
sh600002,齐鲁石化,1998-04-21,5.5,5.78,5.5,5.63,5.5,6982621.0,39449765.0,1773450000.0,10978500000.0
sh600002,齐鲁石化,1998-04-22,5.69,5.78,5.6,5.68,5.63,6567605.0,37147494.0,1789200000.0,11076000000.0
sh600002,齐鲁石化,1998-04-23,5.68,5.72,5.57,5.61,5.68,5429701.0,30433717.0,1767150000.0,10939500000.0
sh600002,齐鲁石化,1998-04-24,5.65,5.67,5.55,5.59,5.61,6960169.0,38832943.0,1760850000.0,10900500000.0
sh600002,齐鲁石化,1998-04-27,5.57,5.57,5.45,5.5,5.59,7431402.0,40845254.0,1732500000.0,10725000000.0
sh600002,齐鲁石化,1998-04-28,5.52,5.78,5.52,5.67,5.5,6304903.0,35558395.0,1786050000.0,11056500000.0
sh600002,齐鲁石化,1998-04-29,5.68,5.73,5.56,5.58,5.67,3696886.0,20693174.0,1757700000.0,10881000000.0
sh600002,齐鲁石化,1998-04-30,5.58,5.6,5.52,5.56,5.58,4584728.0,25435458.0,1751400000.0,10842000000.0
sh600002,齐鲁石化,1998-05-04,5.57,5.6,5.49,5.55,5.56,7324110.0,40389219.0,1748250000.0,10822500000.0
sh600002,齐鲁石化,1998-05-05,5.55,5.65,5.51,5.52,5.55,4720200.0,26264103.0,1738800000.0,10764000000.0
sh600002,齐鲁石化,1998-05-06,5.52,5.6,5.49,5.52,5.52,5039252.0,27813000.0,1738800000.0,10764000000.0
sh600002,齐鲁石化,1998-05-07,5.52,5.58,5.45,5.45,5.52,6136838.0,33695348.0,1716750000.0,10627500000.0
sh600002,齐鲁石化,1998-05-08,5.45,5.57,5.44,5.51,5.45,6574496.0,35987599.0,1735650000.0,10744500000.0
sh600002,齐鲁石化,1998-05-11,5.51,5.61,5.46,5.53,5.51,7671915.0,42327938.0,1741950000.0,10783500000.0
sh600002,齐鲁石化,1998-05-12,5.53,5.8,5.38,5.55,5.53,16442253.0,92691518.0,1748250000.0,10822500000.0
sh600002,齐鲁石化,1998-05-13,5.55,5.55,5.43,5.48,5.55,8011007.0,43750579.0,1726200000.0,10686000000.0
sh600002,齐鲁石化,1998-05-14,5.48,5.67,5.46,5.51,5.48,5164568.0,28589027.0,1735650000.0,10744500000.0
sh600002,齐鲁石化,1998-05-15,5.52,5.6,5.49,5.53,5.51,4587150.0,25430683.0,1741950000.0,10783500000.0
sh600002,齐鲁石化,1998-05-18,5.58,5.65,5.49,5.51,5.53,4268102.0,23722430.0,1735650000.0,10744500000.0
sh600002,齐鲁石化,1998-05-19,5.51,5.52,5.42,5.43,5.51,4112192.0,22400424.0,1710450000.0,10588500000.0
sh600002,齐鲁石化,1998-05-20,5.43,5.48,5.37,5.39,5.43,3380650.0,18220881.0,1697850000.0,10510500000.0
sh600002,齐鲁石化,1998-05-21,5.4,5.4,5.29,5.35,5.39,4453816.0,23743186.0,1685250000.0,10432500000.0
sh600002,齐鲁石化,1998-05-22,5.36,5.43,5.35,5.36,5.35,3239098.0,17370342.0,1688400000.0,10452000000.0
sh600002,齐鲁石化,1998-05-25,5.36,5.58,5.27,5.52,5.36,20049356.0,108728010.0,1738800000.0,10764000000.0
sh600002,齐鲁石化,1998-05-26,5.53,5.55,5.42,5.44,5.52,8086061.0,44206247.0,1713600000.0,10608000000.0
sh600002,齐鲁石化,1998-05-27,5.44,5.58,5.38,5.42,5.44,4945340.0,26894173.0,1707300000.0,10569000000.0
sh600002,齐鲁石化,1998-05-28,5.4,5.47,5.33,5.36,5.42,3793148.0,20374542.0,1688400000.0,10452000000.0
sh600002,齐鲁石化,1998-05-29,5.36,5.48,5.35,5.4,5.36,3962799.0,21340466.0,1701000000.0,10530000000.0
sh600002,齐鲁石化,1998-06-01,5.4,5.42,5.31,5.33,5.4,3605314.0,19238268.0,1678950000.0,10393500000.0
sh600002,齐鲁石化,1998-06-02,5.33,5.34,5.3,5.33,5.33,2835288.0,15049672.0,1678950000.0,10393500000.0
sh600002,齐鲁石化,1998-06-03,5.32,5.34,5.29,5.31,5.33,2728223.0,14492654.0,1672650000.0,10354500000.0
sh600002,齐鲁石化,1998-06-04,5.31,5.33,5.28,5.3,5.31,2893750.0,15336046.0,1669500000.0,10335000000.0
sh600002,齐鲁石化,1998-06-05,5.3,5.38,5.29,5.32,5.3,2444989.0,13003231.0,1675800000.0,10374000000.0
sh600002,齐鲁石化,1998-06-08,5.33,5.34,5.26,5.26,5.32,2686705.0,14202409.0,1656900000.0,10257000000.0
sh600002,齐鲁石化,1998-06-09,5.26,5.28,5.16,5.18,5.26,4307250.0,22446765.0,1631700000.0,10101000000.0
sh600002,齐鲁石化,1998-06-10,5.18,5.22,5.16,5.19,5.18,2300333.0,11919802.0,1634850000.0,10120500000.0
sh600002,齐鲁石化,1998-06-11,5.18,5.2,5.12,5.15,5.19,2894850.0,14902157.0,1622250000.0,10042500000.0
sh600002,齐鲁石化,1998-06-12,5.21,5.23,5.15,5.18,5.15,4060604.0,20983404.0,1631700000.0,10101000000.0
sh600002,齐鲁石化,1998-06-15,5.18,5.18,5.08,5.1,5.18,3904060.0,19953455.0,1606500000.0,9945000000.0
sh600002,齐鲁石化,1998-06-16,5.1,5.1,5.01,5.04,5.1,4516124.0,22759953.0,1587600000.0,9828000000.0
sh600002,齐鲁石化,1998-06-17,5.04,5.11,5.02,5.05,5.04,2174230.0,10974029.0,1590750000.0,9847500000.0
sh600002,齐鲁石化,1998-06-18,5.06,5.46,5.06,5.24,5.05,5990237.0,31704597.0,1650600000.0,10218000000.0
sh600002,齐鲁石化,1998-06-19,5.25,5.27,5.13,5.19,5.24,2696970.0,13950065.0,1634850000.0,10120500000.0
sh600002,齐鲁石化,1998-06-22,5.19,5.2,5.09,5.12,5.19,2669744.0,13674283.0,1612800000.0,9984000000.0
sh600002,齐鲁石化,1998-06-23,5.13,5.18,5.08,5.13,5.12,2075820.0,10583045.0,1615950000.0,10003500000.0
sh600002,齐鲁石化,1998-06-24,5.13,5.15,5.07,5.12,5.13,1874706.0,9585378.0,1612800000.0,9984000000.0
sh600002,齐鲁石化,1998-06-25,5.13,5.15,5.05,5.07,5.12,1695038.0,8614525.0,1597050000.0,9886500000.0
sh600002,齐鲁石化,1998-06-26,5.08,5.15,5.05,5.11,5.07,2200060.0,11188567.0,1609650000.0,9964500000.0
sh600002,齐鲁石化,1998-06-29,5.12,5.15,5.04,5.06,5.11,1736342.0,8803650.0,1593900000.0,9867000000.0
sh600002,齐鲁石化,1998-06-30,5.22,5.22,5.05,5.06,5.06,754250.0,3828266.0,1593900000.0,9867000000.0
sh600002,齐鲁石化,1998-07-01,5.15,5.17,5.04,5.05,5.06,2633150.0,13366760.0,1590750000.0,9847500000.0
sh600002,齐鲁石化,1998-07-02,5.05,5.17,5.04,5.12,5.05,2158138.0,10965718.0,1612800000.0,9984000000.0
sh600002,齐鲁石化,1998-07-03,5.12,5.27,5.1,5.18,5.12,4374609.0,22759367.0,1631700000.0,10101000000.0
sh600002,齐鲁石化,1998-07-06,5.3,5.35,5.21,5.23,5.18,4694263.0,24818404.0,1647450000.0,10198500000.0
sh600002,齐鲁石化,1998-07-07,5.28,5.28,5.15,5.18,5.23,1549427.0,8055000.0,1631700000.0,10101000000.0
sh600002,齐鲁石化,1998-07-08,5.18,5.3,5.18,5.25,5.18,1609535.0,8451338.0,1653750000.0,10237500000.0
sh600002,齐鲁石化,1998-07-09,5.26,5.37,5.21,5.33,5.25,4421733.0,23513643.0,1678950000.0,10393500000.0
sh600002,齐鲁石化,1998-07-10,5.35,5.39,5.27,5.31,5.33,2982490.0,15913886.0,1672650000.0,10354500000.0
sh600002,齐鲁石化,1998-07-13,5.35,5.41,5.3,5.32,5.31,3131676.0,16777317.0,1675800000.0,10374000000.0
sh600002,齐鲁石化,1998-07-14,5.35,5.35,5.09,5.14,5.32,3698431.0,19206209.0,1619100000.0,10023000000.0
sh600002,齐鲁石化,1998-07-15,5.2,5.34,5.13,5.26,5.14,2800200.0,14747126.0,1656900000.0,10257000000.0
sh600002,齐鲁石化,1998-07-16,5.3,5.37,5.23,5.33,5.26,4160596.0,22122251.0,1678950000.0,10393500000.0
sh600002,齐鲁石化,1998-07-17,5.33,5.43,5.28,5.38,5.33,8638980.0,46488016.0,1694700000.0,10491000000.0
sh600002,齐鲁石化,1998-07-20,5.39,5.45,5.21,5.29,5.38,4320324.0,23083220.0,1666350000.0,10315500000.0
sh600002,齐鲁石化,1998-07-21,5.28,5.35,5.2,5.3,5.29,1634598.0,8619210.0,1669500000.0,10335000000.0
sh600002,齐鲁石化,1998-07-22,5.3,5.36,5.2,5.23,5.3,1633500.0,8604809.0,1647450000.0,10198500000.0
sh600002,齐鲁石化,1998-07-23,5.24,5.3,5.21,5.25,5.23,1130917.0,5940164.0,1653750000.0,10237500000.0
sh600002,齐鲁石化,1998-07-24,5.29,5.32,5.2,5.24,5.25,1841000.0,9633844.0,1650600000.0,10218000000.0
